Agents: 50	 Threshold: 0.1	 Different Initial Progress: True	 Initial Cooperation: 10
Spy: 27	 Spied on: 16	 Success False	 Amount: 0 
Spy: 28	 Spied on: 47	 Success False	 Amount: 0 
Spy: 29	 Spied on: 17	 Success False	 Amount: 0 
Spy: 30	 Spied on: 13	 Success True	 Amount: 0.38707832638497647 
Spy: 30	 Spied on: 13	 Success False	 Amount: 0 
Spy: 31	 Spied on: 43	 Success True	 Amount: 0.9159943364557356 
Spy: 31	 Spied on: 43	 Success False	 Amount: 0 
Spy: 32	 Spied on: 31	 Success False	 Amount: 0 
Spy: 33	 Spied on: 5	 Success True	 Amount: 0.5312944933769385 
Spy: 33	 Spied on: 5	 Success False	 Amount: 0 
Spy: 35	 Spied on: 0	 Success False	 Amount: 0 
Spy: 37	 Spied on: 40	 Success False	 Amount: 0 
Spy: 38	 Spied on: 47	 Success False	 Amount: 0 
Spy: 39	 Spied on: 45	 Success False	 Amount: 0 
Spy: 43	 Spied on: 44	 Success False	 Amount: 0 
Time Steps: 4
Spy: 11	 Spied on: 49	 Success False	 Amount: 0 
Spy: 12	 Spied on: 39	 Success True	 Amount: 0.8895181507757859 
Spy: 12	 Spied on: 39	 Success False	 Amount: 0 
Spy: 14	 Spied on: 11	 Success False	 Amount: 0 
Spy: 19	 Spied on: 42	 Success True	 Amount: 0.9644570381302033 
Spy: 19	 Spied on: 42	 Success False	 Amount: 0 
Spy: 26	 Spied on: 14	 Success False	 Amount: 0 
Spy: 27	 Spied on: 22	 Success False	 Amount: 0 
Spy: 28	 Spied on: 14	 Success False	 Amount: 0 
Spy: 29	 Spied on: 12	 Success False	 Amount: 0 
Spy: 30	 Spied on: 17	 Success False	 Amount: 0 
Spy: 31	 Spied on: 17	 Success False	 Amount: 0 
Spy: 33	 Spied on: 25	 Success True	 Amount: 0.3895822898302499 
Spy: 33	 Spied on: 25	 Success False	 Amount: 0 
Spy: 37	 Spied on: 11	 Success False	 Amount: 0 
Spy: 38	 Spied on: 2	 Success False	 Amount: 0 
Spy: 39	 Spied on: 27	 Success False	 Amount: 0 
Spy: 43	 Spied on: 32	 Success False	 Amount: 0 
Time Steps: 5
Spy: 11	 Spied on: 39	 Success False	 Amount: 0 
Spy: 12	 Spied on: 7	 Success True	 Amount: 0.5100004861983548 
Spy: 12	 Spied on: 7	 Success False	 Amount: 0 
Spy: 14	 Spied on: 42	 Success False	 Amount: 0 
Spy: 19	 Spied on: 8	 Success False	 Amount: 0 
Spy: 26	 Spied on: 36	 Success False	 Amount: 0 
Spy: 27	 Spied on: 35	 Success False	 Amount: 0 
Spy: 29	 Spied on: 13	 Success False	 Amount: 0 
Spy: 32	 Spied on: 20	 Success False	 Amount: 0 
Spy: 33	 Spied on: 28	 Success True	 Amount: 1.055014748300282 
Spy: 33	 Spied on: 28	 Success False	 Amount: 0 
Spy: 37	 Spied on: 42	 Success False	 Amount: 0 
Spy: 38	 Spied on: 32	 Success True	 Amount: 1.3982482010601225 
Spy: 38	 Spied on: 32	 Success False	 Amount: 0 
Time Steps: 6
Spy: 12	 Spied on: 25	 Success False	 Amount: 0 
Spy: 14	 Spied on: 44	 Success False	 Amount: 0 
Spy: 19	 Spied on: 14	 Success False	 Amount: 0 
Spy: 26	 Spied on: 29	 Success False	 Amount: 0 
Spy: 27	 Spied on: 42	 Success False	 Amount: 0 
Spy: 29	 Spied on: 20	 Success True	 Amount: 0.4999687715747749 
Spy: 29	 Spied on: 20	 Success False	 Amount: 0 
Spy: 32	 Spied on: 27	 Success False	 Amount: 0 
Spy: 33	 Spied on: 10	 Success True	 Amount: 0.9134800578945335 
Spy: 33	 Spied on: 10	 Success False	 Amount: 0 
Spy: 37	 Spied on: 40	 Success False	 Amount: 0 
Spy: 38	 Spied on: 49	 Success False	 Amount: 0 
Spy: 43	 Spied on: 4	 Success True	 Amount: 0.6852743809295734 
Spy: 43	 Spied on: 4	 Success False	 Amount: 0 
Time Steps: 7
Agent 1: 7	 Agent 2: 4	 defect : False 
Spy: 12	 Spied on: 26	 Success False	 Amount: 0 
Spy: 26	 Spied on: 48	 Success False	 Amount: 0 
Spy: 27	 Spied on: 34	 Success True	 Amount: 0.37275541546634405 
Spy: 27	 Spied on: 34	 Success False	 Amount: 0 
Spy: 29	 Spied on: 14	 Success False	 Amount: 0 
Spy: 32	 Spied on: 31	 Success False	 Amount: 0 
Spy: 33	 Spied on: 21	 Success True	 Amount: 0.6812629607303021 
Spy: 33	 Spied on: 21	 Success False	 Amount: 0 
Spy: 38	 Spied on: 39	 Success False	 Amount: 0 
Spy: 43	 Spied on: 1	 Success False	 Amount: 0 
Time Steps: 8
Spy: 12	 Spied on: 30	 Success False	 Amount: 0 
Spy: 26	 Spied on: 1	 Success False	 Amount: 0 
Spy: 27	 Spied on: 15	 Success False	 Amount: 0 
Spy: 29	 Spied on: 7	 Success False	 Amount: 0 
Spy: 32	 Spied on: 16	 Success True	 Amount: 0.3179335647674309 
Spy: 32	 Spied on: 16	 Success False	 Amount: 0 
Spy: 33	 Spied on: 38	 Success False	 Amount: 0 
Spy: 38	 Spied on: 19	 Success False	 Amount: 0 
Time Steps: 9
Spy: 26	 Spied on: 29	 Success True	 Amount: 1.0335982306754659 
Spy: 26	 Spied on: 29	 Success False	 Amount: 0 
Spy: 27	 Spied on: 11	 Success True	 Amount: 1.4949550268391787 
Spy: 27	 Spied on: 11	 Success False	 Amount: 0 
Spy: 29	 Spied on: 39	 Success False	 Amount: 0 
Spy: 32	 Spied on: 27	 Success True	 Amount: 2.1049728552913534 
Spy: 32	 Spied on: 27	 Success False	 Amount: 0 
Spy: 38	 Spied on: 15	 Success True	 Amount: 0.6952040897143611 
Spy: 38	 Spied on: 15	 Success False	 Amount: 0 
Time Steps: 10
Spy: 26	 Spied on: 14	 Success False	 Amount: 0 
Spy: 32	 Spied on: 30	 Success False	 Amount: 0 
Spy: 38	 Spied on: 22	 Success True	 Amount: 0.8593391948257373 
Spy: 38	 Spied on: 22	 Success False	 Amount: 0 
Time Steps: 11
Spy: 32	 Spied on: 48	 Success False	 Amount: 0 
Spy: 38	 Spied on: 28	 Success False	 Amount: 0 
Time Steps: 12
Spy: 32	 Spied on: 40	 Success False	 Amount: 0 
Spy: 38	 Spied on: 35	 Success False	 Amount: 0 
Time Steps: 13
Spy: 32	 Spied on: 44	 Success False	 Amount: 0 
Time Steps: 14
Spy: 32	 Spied on: 31	 Success False	 Amount: 0 
Spy: 38	 Spied on: 5	 Success False	 Amount: 0 
Time Steps: 15
Spy: 38	 Spied on: 45	 Success False	 Amount: 0 
Time Steps: 16
Spy: 38	 Spied on: 26	 Success False	 Amount: 0 
Time Steps: 17
Agent 1: 5	 Agent 2: 6	 defect : True 
Spy: 38	 Spied on: 18	 Success False	 Amount: 0 
Time Steps: 18
Time Steps: 19
Time Steps: 20
Time Steps: 21
Agent 1: 1	 Agent 2: 6	 defect : True 
Time Steps: 22
Time Steps: 23
Time Steps: 24
Time Steps: 25
Time Steps: 26
Time Steps: 27
Time Steps: 28
